fh_operacion,hm_hora,im_transaccion,credPrea
21/10/17,152906,615.44,307.72
01/11/17,31516,129,64.5
21/11/17,145728,615.43,307.715
21/09/17,144141,583.27,291.635
01/12/17,51359,149,74.5
01/09/17,35348,129,64.5
01/08/17,54122,129,64.5
21/08/17,131804,583.27,291.635
21/12/17,141327,615.44,307.72
01/10/17,54137,129,64.5
30/08/17,100501,370.53,185.265
30/11/17,112213,34.78,17.39
30/10/17,115614,377.17,188.585
28/12/17,205511,284,142
11/10/17,214831,198,99
25/12/17,151658,670,335
22/12/17,140116,600,300
21/12/17,151929,669.9,334.95
24/12/17,34726,205,102.5
21/12/17,225355,390,195
29/12/17,94229,265.5,132.75
30/12/17,71615,286,143
12/11/17,201153,800,400
24/12/17,150107,773,386.5
22/12/17,143126,668.8,334.4
30/12/17,90851,334,167
31/12/17,162006,713,356.5
23/12/17,171233,664.4,332.2
29/12/17,143156,333.6,166.8
28/12/17,94757,236,118
28/12/17,123556,665.6,332.8
22/10/17,201957,2542.3,1271.15
07/10/17,10926,93.6,46.8
22/10/17,193537,199,99.5
20/10/17,121936,159,79.5
11/11/17,120833,1250,625
17/11/17,192206,846.54,423.27
10/11/17,122152,2712,1356
12/11/17,80614,999.06,499.53
27/11/17,174012,363.39,181.695
20/11/17,120231,159,79.5
08/11/17,191859,449,224.5
20/09/17,104258,159,79.5
20/08/17,94919,159,79.5
05/12/17,115852,1377,688.5
17/11/17,180930,556,278
12/12/17,162811,567.23,283.615
09/12/17,142626,1290.5,645.25
09/12/17,105711,1198,599
09/12/17,142437,298,149
05/12/17,163412,732,366
20/12/17,114049,199,99.5
23/11/17,170622,400,200
18/11/17,102309,637.41,318.705
26/08/17,171817,778,389
28/09/17,123910,683,341.5
12/08/17,110000,593,296.5
13/11/17,143828,593,296.5
14/08/17,225428,1010.27,505.135
10/08/17,164844,2649,1324.5
09/08/17,165726,1707,853.5
18/11/17,193944,3452.17,1726.085
07/12/17,214028,1493.53,746.765
12/10/17,131320,593,296.5
14/08/17,212808,1,0.5
18/11/17,193416,1,0.5
20/12/17,92806,448.5,224.25
12/12/17,94358,661,330.5
03/08/17,161912,197,98.5
25/09/17,115643,129,64.5
25/08/17,61537,129,64.5
10/08/17,193952,2791.77,1395.885
20/09/17,202936,172.54,86.27
14/10/17,133528,295,147.5
14/10/17,142228,139,69.5
21/09/17,145545,1133.8,566.9
02/09/17,182144,899,449.5
05/11/17,200825,290,145
07/08/17,201427,350.44,175.22
25/10/17,43022,129,64.5
18/11/17,210636,152,76
25/12/17,35953,129,64.5
25/11/17,42443,129,64.5
18/09/17,161706,99,49.5
17/11/17,213131,779.4,389.7
19/11/17,171245,255,127.5
05/08/17,205659,250,125
12/08/17,200257,1808.67,904.335
15/11/17,214138,366,183
19/09/17,203332,680.73,340.365
08/12/17,222209,269.18,134.59
04/12/17,151541,699,349.5
05/11/17,114309,119,59.5
19/11/17,135621,419.3,209.65
26/12/17,182553,229.98,114.99
19/09/17,185525,292.3,146.15
06/08/17,144927,298,149
17/10/17,193001,138.88,69.44
05/09/17,192927,187.65,93.825
18/08/17,194247,190.35,95.175
03/09/17,122124,477.63,238.815
16/08/17,111121,154.75,77.375
08/08/17,104115,150.63,75.315
30/12/17,181204,1700,850
26/12/17,123156,799,399.5
19/11/17,154322,149,74.5
19/11/17,134250,339.98,169.99
04/12/17,124233,6396.11,3198.055
08/10/17,133954,5350,2675
04/12/17,151427,699,349.5
16/08/17,102303,359.1,179.55
19/11/17,125438,149.99,74.995
02/12/17,211220,388.77,194.385
05/08/17,123939,409.98,204.99
21/11/17,205630,195.17,97.585
23/12/17,105719,233.72,116.86
26/12/17,110410,169,84.5
26/10/17,170625,299.46,149.73
03/12/17,210542,1839.2,919.6
01/09/17,192602,2580,1290
19/11/17,150236,3990,1995
30/12/17,171409,6990,3495
30/10/17,190754,99.5,49.75
16/09/17,132803,771,385.5
10/09/17,113615,451,225.5
11/10/17,100312,794.99,397.495
12/09/17,113026,794.99,397.495
23/10/17,194131,48,24
13/12/17,103357,698.58,349.29
26/11/17,202839,191,95.5
29/10/17,194651,314,157
17/10/17,172104,444.06,222.03
17/10/17,180323,240,120
11/11/17,134229,129.5,64.75
24/12/17,151055,1190,595
11/08/17,110217,794.99,397.495
13/11/17,125340,398.21,199.105
31/10/17,110239,299,149.5
01/12/17,104636,299,149.5
02/08/17,131936,303.58,151.79
08/09/17,201900,153,76.5
04/10/17,2609,12,6
26/08/17,155545,892.37,446.185
28/09/17,231637,16000,8000
05/09/17,202656,135,67.5
31/08/17,100528,300.19,150.095
14/12/17,140051,798,399
02/10/17,122842,299,149.5
06/12/17,130343,3999,1999.5
09/11/17,170050,618,309
04/10/17,2614,4640,2320
31/10/17,184728,4999,2499.5
14/12/17,125232,200,100
22/11/17,102140,134.93,67.465
06/09/17,33252,123,61.5
17/10/17,124900,6919.62,3459.81
